车系ID,车型,价格(万元),价格来源,更新时间
10136,smart精灵#5 2024款 丛林之境限量版,23.99-37.99,懂车帝参数页官方指导价,2026-06-08
10136,smart精灵#5 2024款 超长续航豪华版,23.99-37.99,懂车帝参数页官方指导价,2026-06-08
10136,smart精灵#5 2024款 长续航标准版,23.99-37.99,懂车帝参数页官方指导价,2026-06-08
10136,smart精灵#5 2024款 长续航豪华版,23.99-37.99,懂车帝参数页官方指导价,2026-06-08
10136,smart精灵#5 2025款 BRABUS超能版,23.99-37.99,懂车帝参数页官方指导价,2026-06-08
10136,smart精灵#5 2025款 超长续航豪华四驱版,23.99-37.99,懂车帝参数页官方指导价,2026-06-08
10162,红旗红旗天工06 660 四驱性能版,17.98-26.28,懂车帝参数页官方指导价,2026-06-08
10162,红旗红旗天工06 700 长续航版,17.98-26.28,懂车帝参数页官方指导价,2026-06-08
10162,红旗红旗天工06 730 四驱智选版,17.98-26.28,懂车帝参数页官方指导价,2026-06-08
10162,红旗红旗天工06 780 智选版,17.98-26.28,懂车帝参数页官方指导价,2026-06-08
10177,岚图岚图知音 后驱乾崑版,20.29-24.29,懂车帝参数页官方指导价,2026-06-08
10177,岚图岚图知音 四驱乾崑版,20.29-24.29,懂车帝参数页官方指导价,2026-06-08
10177,岚图岚图知音 超长续航乾崑版,20.29-24.29,懂车帝参数页官方指导价,2026-06-08
10177,岚图岚图知音 超长续航智享版,20.29-24.29,懂车帝参数页官方指导价,2026-06-08
10177,岚图岚图知音 长续航超充版,20.29-24.29,懂车帝参数页官方指导价,2026-06-08
10178,理想i8 2025款 标准版,33.98,懂车帝参数页官方指导价,2026-06-08
10180,智界智界R7 纯电 Max(192线激光雷达),24.98-31.98,懂车帝参数页官方指导价,2026-06-08
10180,智界智界R7 纯电 Max(896线激光雷达),24.98-31.98,懂车帝参数页官方指导价,2026-06-08
10180,智界智界R7 纯电 Max+(192线激光雷达),24.98-31.98,懂车帝参数页官方指导价,2026-06-08
10180,智界智界R7 纯电 Max+(896线激光雷达),24.98-31.98,懂车帝参数页官方指导价,2026-06-08
10180,智界智界R7 纯电 UItra(192线激光雷达),24.98-31.98,懂车帝参数页官方指导价,2026-06-08
10180,智界智界R7 纯电 UItra(896线激光雷达),24.98-31.98,懂车帝参数页官方指导价,2026-06-08
20041,小米汽车小米YU7 后驱标准版,23.35-38.99,懂车帝参数页官方指导价,2026-06-08
20041,小米汽车小米YU7 后驱长续航版,23.35-38.99,懂车帝参数页官方指导价,2026-06-08
20041,小米汽车小米YU7 四驱GT,23.35-38.99,懂车帝参数页官方指导价,2026-06-08
20041,小米汽车小米YU7 四驱Max版,23.35-38.99,懂车帝参数页官方指导价,2026-06-08
20041,小米汽车小米YU7 四驱Pro版,23.35-38.99,懂车帝参数页官方指导价,2026-06-08
25072,昊铂HL 2025款 700 Ultra六座四驱激光雷达版,26.98-31.98,懂车帝参数页官方指导价,2026-06-08
25072,昊铂HL 2025款 750 Max五座激光雷达版,26.98-31.98,懂车帝参数页官方指导价,2026-06-08
25072,昊铂HL 2025款 750 Max六座激光雷达版,26.98-31.98,懂车帝参数页官方指导价,2026-06-08
25079,奥迪Q6L Sportback e-tron 2026款 quattro乾崑智驾版,29.98-41.98,懂车帝参数页官方指导价,2026-06-08
25079,奥迪Q6L Sportback e-tron 2026款 超长续航乾崑智驾版,29.98-41.98,懂车帝参数页官方指导价,2026-06-08
25079,奥迪Q6L Sportback e-tron 2026款 超长续航版,29.98-41.98,懂车帝参数页官方指导价,2026-06-08
25079,奥迪Q6L Sportback e-tron 2026款 长续航版,29.98-41.98,懂车帝参数页官方指导价,2026-06-08
25079,奥迪Q6L Sportback e-tron 2026款 首发领航版,29.98-41.98,懂车帝参数页官方指导价,2026-06-08
25557,理想i6 2025款 两驱 标准版,24.98-26.98,懂车帝参数页官方指导价,2026-06-08
25557,理想i6 2025款 四驱 标准版,24.98-26.98,懂车帝参数页官方指导价,2026-06-08
25621,小鹏GX 2026款 纯电 665Max,27.98-35.98,懂车帝参数页官方指导价,2026-06-08
25621,小鹏GX 2026款 纯电 665Ultra,27.98-35.98,懂车帝参数页官方指导价,2026-06-08
25621,小鹏GX 2026款 纯电 665Ultra SE,27.98-35.98,懂车帝参数页官方指导价,2026-06-08
25621,小鹏GX 2026款 纯电 750四驱Ultra旗舰版,27.98-35.98,懂车帝参数页官方指导价,2026-06-08
25651,Model Y L 2026款 标准版,33.9,懂车帝参数页官方指导价,2026-06-08
25718,零跑D19 2026款 纯电620智尊版 六座,21.98-26.98,懂车帝参数页官方指导价,2026-06-08
25718,零跑D19 2026款 纯电680三电机性能版 六座,21.98-26.98,懂车帝参数页官方指导价,2026-06-08
25718,零跑D19 2026款 纯电720智尊版 七座,21.98-26.98,懂车帝参数页官方指导价,2026-06-08
25718,零跑D19 2026款 纯电720智尊版 六座,21.98-26.98,懂车帝参数页官方指导价,2026-06-08
25816,星途EX7 2026款 纯电 两驱Max 100kWh,19.99-26.39,懂车帝参数页官方指导价,2026-06-08
25816,星途EX7 2026款 纯电 两驱Max 77kWh,19.99-26.39,懂车帝参数页官方指导价,2026-06-08
25816,星途EX7 2026款 纯电 四驱Ultra 100kWh,19.99-26.39,懂车帝参数页官方指导价,2026-06-08
25819,与众08 2026款 Max,22.99-28.99,懂车帝参数页官方指导价,2026-06-08
25819,与众08 2026款 Pure,22.99-28.99,懂车帝参数页官方指导价,2026-06-08
25819,与众08 2026款 Ultra,22.99-28.99,懂车帝参数页官方指导价,2026-06-08
25994,钛7 EV 2026款 675KM四驱闪充版,19.98-23.98,懂车帝参数页官方指导价,2026-06-08
25994,钛7 EV 2026款 755KM后驱闪充版,19.98-23.98,懂车帝参数页官方指导价,2026-06-08
3503,埃安AION LX PLUS 80 智尊版,23.66-41.96,懂车帝参数页官方指导价,2026-06-08
3503,埃安AION LX PLUS 80D Max版,23.66-41.96,懂车帝参数页官方指导价,2026-06-08
3503,埃安AION LX PLUS 80D 旗舰版,23.66-41.96,懂车帝参数页官方指导价,2026-06-08
3503,埃安AION LX PLUS 千里版,23.66-41.96,懂车帝参数页官方指导价,2026-06-08
4363,特斯拉Model Y 后轮驱动版,26.35-31.35,懂车帝参数页官方指导价,2026-06-08
4363,特斯拉Model Y 长续航全轮驱动版,26.35-31.35,懂车帝参数页官方指导价,2026-06-08
4363,特斯拉Model Y 长续航后轮驱动版,26.35-31.35,懂车帝参数页官方指导价,2026-06-08
4980,飞凡R7 2025款 长续版,17.99-20.99,懂车帝参数页官方指导价,2026-06-08
5308,阿维塔阿维塔 11 Max后驱纯电版,28.99-42.99,懂车帝参数页官方指导价,2026-06-08
5308,阿维塔阿维塔 11 Max四驱纯电版,28.99-42.99,懂车帝参数页官方指导价,2026-06-08
5308,阿维塔阿维塔 11 改款 Ultra四驱纯电版,28.99-42.99,懂车帝参数页官方指导价,2026-06-08
5308,阿维塔阿维塔 11 改款 皇家剧院版,28.99-42.99,懂车帝参数页官方指导价,2026-06-08
5308,阿维塔阿维塔 11 暗夜骑士版,28.99-42.99,懂车帝参数页官方指导价,2026-06-08
5461,小鹏G9 2025款 625长续航Max,24.88-27.88,懂车帝参数页官方指导价,2026-06-08
5461,小鹏G9 2025款 680超长续航四驱Max,24.88-27.88,懂车帝参数页官方指导价,2026-06-08
5461,小鹏G9 2025款 725超长续航Max,24.88-27.88,懂车帝参数页官方指导价,2026-06-08
5461,小鹏G9 2026款 625 Max,24.88-27.88,懂车帝参数页官方指导价,2026-06-08
5461,小鹏G9 2026款 680 四驱 Max,24.88-27.88,懂车帝参数页官方指导价,2026-06-08
5461,小鹏G9 2026款 725 Max,24.88-27.88,懂车帝参数页官方指导价,2026-06-08
