数据日期,车系ID,车型,品牌,动力形式,价格(万元),纯电续航里程(km)工信部,纯电续航里程(km)CLTC,电池能量密度(Wh/kg),高压快充平台,充电时间,快充时间(分钟),充电电量,快充窗口跨度(%),高压平台电压(V),电池容量(kWh),电芯品牌,电池类型,缺失状态,数据状态
2026-06-15,9778,极氪ZEEKR 7X 103kWh后驱 Max版,极氪,纯电动,22.98,802,802,未明确显示,900V,快充10分钟 / 慢充14.7小时,10.0,10-80,70.0,900,103,时代吉利,三元锂电池,完整,当日采集
2026-06-15,9778,极氪ZEEKR 7X 103kWh四驱 Ultra版,极氪,纯电动,22.98,715,715,未明确显示,900V,快充10分钟 / 慢充14.7小时,10.0,10-80,70.0,900,103,时代吉利,三元锂电池,完整,当日采集
2026-06-15,25072,昊铂HL 2025款 750 Max五座激光雷达版,昊铂,纯电动,26.98,750,750,未明确显示,800V,快充10分钟,10.0,30-80,50.0,800,108.35,中创新航,三元锂电池,完整,当日采集
2026-06-15,25072,昊铂HL 2025款 750 Max六座激光雷达版,昊铂,纯电动,26.98,750,750,未明确显示,800V,快充10分钟,10.0,30-80,50.0,800,108.35,中创新航,三元锂电池,完整,当日采集
2026-06-15,25072,昊铂HL 2025款 700 Ultra六座四驱激光雷达版,昊铂,纯电动,26.98,700,700,未明确显示,800V,快充10分钟,10.0,30-80,50.0,800,108.35,中创新航,三元锂电池,完整,当日采集
2026-06-15,10177,岚图岚图知音 后驱乾崑版,岚图,纯电动,20.29,650,650,未明确显示,800V,快充10分钟,10.0,20-80,60.0,800,81,宁德时代,磷酸铁锂电池,完整,当日采集
2026-06-15,10177,岚图岚图知音 长续航超充版,岚图,纯电动,20.29,650,650,未明确显示,800V,快充10分钟,10.0,10-80,70.0,800,79,宁德时代,磷酸铁锂电池,完整,当日采集
2026-06-15,10177,岚图岚图知音 四驱乾崑版,岚图,纯电动,20.29,600,600,未明确显示,800V,快充10分钟,10.0,20-80,60.0,800,81,宁德时代,磷酸铁锂电池,完整,当日采集
2026-06-15,10178,理想i8 2025款 标准版,理想,纯电动,33.98,720,720,未明确显示,800V,快充11分钟 慢充17小时,11.0,10-80,70.0,800,97.8,宁德时代,三元锂电池,完整,当日采集
2026-06-15,9778,极氪ZEEKR 7X 75kWh后驱 Max版,极氪,纯电动,22.98,620,620,未明确显示,800V,快充11分钟 / 慢充10.7小时,11.0,10-80,70.0,800,75,衢州极电,磷酸铁锂电池,完整,当日采集
